country_code,country,year,renewable_share,energy_use_per_capita,population,gdp_per_capita,total_energy_use,energy_intensity
KOR,"Korea, Rep.",2013,1.9,5108.23633855207,50428893.0,28732.711152033,257602703735.55414,0.17778469673547093
KOR,"Korea, Rep.",2014,2.9,5136.98533019492,50746659.0,29470.6732991655,260684842839.404,0.1743083803362029
KOR,"Korea, Rep.",2015,2.7,5239.00345362778,51014947.0,30171.7906545222,267267483519.63815,0.17363912913277982
KOR,"Korea, Rep.",2016,2.6,5390.84042635905,51217803.0,31005.4072876388,276107002961.69385,0.1738677507554711
KOR,"Korea, Rep.",2017,2.8,5467.82224967457,51361911.0,31979.9027302467,280837799751.60504,0.17097682553308974
KOR,"Korea, Rep.",2018,3.2,5531.77957372505,51585058.0,32852.8887488942,285357170153.82196,0.16838030944573315
KOR,"Korea, Rep.",2019,3.2,5334.67385872126,51764822.0,33496.3113815643,276148442724.7592,0.15926153175353386
KOR,"Korea, Rep.",2020,3.6,5195.91011087811,51836239.0,33215.9298928108,269336438329.9942,0.1564282598032188
KOR,"Korea, Rep.",2021,3.6,5513.62830573477,51769539.0,34792.9397214598,285437995605.2401,0.15846974558272353
MEX,Mexico,1990,14.4,1502.65916196056,82820170.0,8036.86114412537,124450487245.6311,0.18697090008316802
MEX,Mexico,1991,13.2,1547.4413301937,84430572.0,8197.01179494896,130651356644.69496,0.18878115207144647
MEX,Mexico,1992,13.4,1532.05083523555,86044809.0,8330.26426802488,131825021496.13338,0.18391383345618664
MEX,Mexico,1993,13.3,1529.66917943226,87653807.0,8411.79621338297,134081327027.8037,0.18184810243008412
MEX,Mexico,1994,11.9,1536.71971480805,89259205.0,8623.48043007968,137166380051.59326,0.17820179766951136
MEX,Mexico,1995,13.3,1461.03050354057,90862455.0,7970.64038496182,132752818381.58238,0.18330152070304054
MEX,Mexico,1996,13.1,1467.31082127073,92452702.0,8320.65295694833,135656850100.31807,0.17634563403409612
MEX,Mexico,1997,12.7,1518.26280329371,94021207.0,8770.84481553539,142748901308.8782,0.17310337090954814
MEX,Mexico,1998,12.2,1536.12241939376,95575245.0,9161.89527783381,146815276583.55136,0.16766426299482357
MEX,Mexico,1999,12.8,1555.69407717508,97115707.0,9264.97729259968,151082330180.57047,0.1679112671347481
MEX,Mexico,2000,12.2,1541.32297457171,98625552.0,9581.96970210753,152013829177.41684,0.16085659029298535
MEX,Mexico,2001,11.3,1563.12708165755,100099099.0,9398.35074355724,156467612496.42017,0.16631929625834677
MEX,Mexico,2002,10.7,1556.55451556538,101548624.0,9242.27886130016,158065969236.6509,0.1684167442818763
